Experiment,Overall MdAPE,Q1-Q4 MdAPE,Q5 MdAPE,Q5 MAE,Q5 Bias,Q5 mean residual
+ local price features + Blend 60% log1p + 40% raw,7.17434928280882,6.588195652173913,10.526257485029939,371995.5171519745,under,173471.50309134423
+ local price features + Blend 70% log1p + 30% raw,7.191877082143537,6.625430484693877,10.539001436781609,373697.64424611087,under,178702.2384822497
+ local price features + Blend 80% log1p + 20% raw,7.203548094672996,6.610686119873817,10.584723684210525,376011.1244764659,under,183932.85762365378
+ local price features,7.309802277432713,6.646196934343518,11.044259615384615,382956.3564270044,under,194394.22349920223
