eval_name,experiment,target_transform,uses_local_aggregates,log1p_weight,raw_weight,max_depth,learning_rate,n_estimators,price_lower_bound,price_upper_bound,price_per_sqft_lower_bound,price_per_sqft_upper_bound,train_rows_before_filter,train_rows_after_filter,eval_rows_before_filter,eval_rows_after_filter,n_raw_features,n_model_numeric_features,fit_seconds,train_r2,train_mae,eval_r2,eval_mae,eval_rmse,eval_mape,eval_mdape,train_eval_r2_gap,q5_mae,q5_mape,q5_mdape,q5_mean_residual
final_test_2026-06,+ local price features + Blend 60% log1p + 40% raw,blend,True,0.6,0.4,9,0.1,1200,188282.50000000003,9000000.0,167.90461026743458,1960.6068877667078,130114,127047,12858,12538,56,25,36.16129533297499,0.9774857681856747,81519.24194409352,0.9177686630876858,140201.04566991347,274472.0280989535,10.369685901931602,7.17434928280882,0.05971710509798889,371995.5171519745,13.082463542492974,10.526257485029939,173471.50309134423
final_test_2026-06,+ local price features + Blend 70% log1p + 30% raw,blend,True,0.7,0.3,9,0.1,1200,188282.50000000003,9000000.0,167.90461026743458,1960.6068877667078,130114,127047,12858,12538,56,25,36.16129533297499,0.9761790638440521,82283.51939714732,0.9172430443704458,140552.30510373466,275347.8367423941,10.367370863068741,7.191877082143537,0.05893601947360627,373697.64424611087,13.125353972985296,10.539001436781609,178702.2384822497
final_test_2026-06,+ local price features + Blend 80% log1p + 20% raw,blend,True,0.8,0.2,9,0.1,1200,188282.50000000003,9000000.0,167.90461026743458,1960.6068877667078,130114,127047,12858,12538,56,25,36.16129533297499,0.9747006825576622,83167.6447710247,0.9163593951496333,141164.83726097664,276813.9663709625,10.38531746571293,7.203548094672996,0.05834128740802891,376011.1244764659,13.19072854922643,10.584723684210525,183932.85762365378
final_test_2026-06,+ local price features,log1p,True,1.0,0.0,9,0.1,1200,188282.50000000003,9000000.0,167.90461026743458,1960.6068877667078,130114,127047,12858,12538,56,25,36.16129533297499,0.971228875915902,85317.79555466678,0.9135179792397821,143230.39354113495,281476.6219159643,10.480920992710706,7.309802277432713,0.05771089667611995,382956.3564270044,13.404161957140941,11.044259615384615,194394.22349920223
validation_2026-05,+ local price features + Blend 60% log1p + 40% raw,blend,True,0.6,0.4,9,0.1,1200,189000.0,9000000.0,167.5971702396145,1952.7824815602385,129862,126799,12014,11719,56,25,33.8757204170106,0.9776789648633949,81195.69741722134,0.912802501987944,142461.1108216358,278554.5416125215,10.511306222926743,7.272682926829269,0.0648764628754509,379154.2326478843,13.373080944923137,10.865795581111062,172926.93040263385
validation_2026-05,+ local price features + Blend 80% log1p + 20% raw,blend,True,0.8,0.2,9,0.1,1200,189000.0,9000000.0,167.5971702396145,1952.7824815602385,129862,126799,12014,11719,56,25,33.8757204170106,0.974929559658535,82865.2820165922,0.9111453781056205,143408.08859144337,281188.9456953805,10.523745698995349,7.305846153846154,0.06378418155291454,383860.9436258636,13.529258524002069,11.028140098031875,181321.1984833765
validation_2026-05,+ local price features + Blend 70% log1p + 30% raw,blend,True,0.7,0.3,9,0.1,1200,189000.0,9000000.0,167.5971702396145,1952.7824815602385,129862,126799,12014,11719,56,25,33.8757204170106,0.9763892979611462,81967.91449631898,0.9121714732143676,142808.13757839834,279560.64309202245,10.507596765386763,7.315914709517923,0.0642178247467785,381224.7698078584,13.440792556041632,11.056527972027972,177124.12548575128
validation_2026-05,+ local price features,log1p,True,1.0,0.0,9,0.1,1200,189000.0,9000000.0,167.5971702396145,1952.7824815602385,129862,126799,12014,11719,56,25,33.8757204170106,0.9714998563257408,85034.51044554275,0.9079079557011608,145530.59621394743,286265.6829675102,10.625598745918632,7.381393442622951,0.06359190062457998,391591.6631314767,13.791724996884026,11.204083397121863,189715.48847689983
