model_label,segment_type,segment_value,count,r2,mae,rmse,mape,mdape
LinearRegression,ClosePrice_quintile,Q1 lowest,2475.0,-2.6830538190620086,128439.13236442188,171685.01096563292,30.306466155821738,24.353703411258508
LinearRegression,ClosePrice_quintile,Q2,2534.0,-7.430156449158661,138356.84570408304,190960.38861080294,20.15819951229526,15.600905761137
LinearRegression,ClosePrice_quintile,Q3,2559.0,-6.079705347200782,157380.08173907292,225843.25681553016,16.776274563053185,12.029103897169914
LinearRegression,ClosePrice_quintile,Q4,2558.0,-2.362733254352386,206019.91420289656,292889.82884168177,15.254574588330094,11.083319231231645
LinearRegression,ClosePrice_quintile,Q5 highest,2412.0,0.6667294343705086,457742.4307361516,689829.5632320573,15.604069108835033,12.71387616587128
LinearRegression,CountyOrParish,Alameda,615.0,0.8127313869185036,235986.7020564201,366423.6883341179,15.840751888408686,11.973638907612951
LinearRegression,CountyOrParish,Butte,166.0,-0.17955142838609528,136328.69043796227,216868.93126222593,29.108098666020094,22.566377657531774
LinearRegression,CountyOrParish,Contra Costa,630.0,0.8582049189165855,194697.9737935909,302155.6906543291,16.355293543346928,11.97570678956676
LinearRegression,CountyOrParish,Fresno,51.0,-0.9912408214188093,156263.53253592,298934.87921073573,45.95081982392514,23.782363727595914
LinearRegression,CountyOrParish,Kern,125.0,-0.3332633416922077,145507.5309706859,213542.88743356318,31.637381831276635,19.78206758199767
LinearRegression,CountyOrParish,Lake,46.0,0.39512855931930024,121077.61165728368,162788.01786470792,32.06343831683886,25.158699511688546
LinearRegression,CountyOrParish,Los Angeles,3021.0,0.8517457825314046,237142.46729874975,419399.3352199071,17.008993722398486,12.700201899962584
LinearRegression,CountyOrParish,Madera,28.0,-1.3394732544217653,164295.26531566153,195819.18223768618,38.698833498746,31.51351910201072
LinearRegression,CountyOrParish,Merced,106.0,-0.29655276979853595,117196.41498317503,171059.20143441364,25.26032235525658,19.37809805176754
LinearRegression,CountyOrParish,Monterey,110.0,0.8844986245688999,254889.66567827624,401933.74872949254,18.167326943271018,15.90977915632647
LinearRegression,CountyOrParish,Orange,1196.0,0.829369902221668,242319.8080849248,407330.9751064543,13.265883384283134,9.943302423498833
LinearRegression,CountyOrParish,Riverside,1939.0,0.6042911112346094,188324.73198763188,299733.28716411727,25.583216426942794,21.623147686961417
LinearRegression,CountyOrParish,Sacramento,32.0,-0.5737720561945008,124175.06447602442,168489.2467268745,23.895711650085165,19.899837553094518
LinearRegression,CountyOrParish,San Benito,30.0,0.4511561159645292,216023.0365152024,281842.39594648173,21.45928022423067,18.944369609504918
LinearRegression,CountyOrParish,San Bernardino,1227.0,0.632533887216198,137698.16175186253,185520.5945926878,24.39993566737678,19.178209210861915
LinearRegression,CountyOrParish,San Diego,1445.0,0.8414565960542859,220547.69510921394,370589.4312779325,15.690052493626451,12.430333878939955
LinearRegression,CountyOrParish,San Joaquin,53.0,0.5771841900820343,192726.2083586073,251387.6515442896,27.064252601066045,23.346605944365674
LinearRegression,CountyOrParish,San Luis Obispo,209.0,0.709184781878208,201668.27289765707,329290.6286376731,17.682360727384406,12.853967797008012
LinearRegression,CountyOrParish,San Mateo,199.0,0.7632456558459246,402220.39785440895,612632.0858995649,17.422663379672937,11.313162052533045
LinearRegression,CountyOrParish,Santa Barbara,72.0,0.8741689331020104,236092.61380502302,376839.03447731445,18.683298380787242,13.389240476322847
LinearRegression,CountyOrParish,Santa Clara,384.0,0.8333322353164446,320050.5713417608,481400.7130372159,15.02846910706289,11.778930761375605
LinearRegression,CountyOrParish,Santa Cruz,100.0,0.5972754022068049,302310.6041002597,489161.4096129045,19.959745636206268,14.874021967586874
LinearRegression,CountyOrParish,Solano,49.0,-0.36292270798640613,153005.03772310013,190654.8572617417,26.922817916715722,20.589310206189708
LinearRegression,CountyOrParish,Tuolumne,72.0,0.06124786266653148,238252.3055817344,305603.0085530364,49.62905204446973,40.430314577204484
